"Estado","Ano","Tipo","Rango.edades","Valor"
"Campeche ","2005","General","Entre.1.y.4",3
"Coahuila ","2005","General","Entre.1.y.4",11
"Colima ","2005","General","Entre.1.y.4",555
"Chiapas ","2005","General","Entre.1.y.4",31
"Chihuahua ","2005","General","Entre.1.y.4",36
"Distrito Federal ","2005","General","Entre.1.y.4",33
"Durango ","2005","General","Entre.1.y.4",420
"Guanajuato ","2005","General","Entre.1.y.4",2207
"Guerrero ","2005","General","Entre.1.y.4",3426
"Hidalgo ","2005","General","Entre.1.y.4",12
"Jalisco ","2005","General","Entre.1.y.4",4279
"Mexico","2005","General","Entre.1.y.4",782
"Michoacan","2005","General","Entre.1.y.4",2617
"Morelos ","2005","General","Entre.1.y.4",2964
"Nayarit ","2005","General","Entre.1.y.4",1078
"Nuevo Leon","2005","General","Entre.1.y.4",8
"Oaxaca ","2005","General","Entre.1.y.4",341
"Puebla ","2005","General","Entre.1.y.4",1302
"Queretaro","2005","General","Entre.1.y.4",298
"Quintana Roo ","2005","General","Entre.1.y.4",9
"San Luis Potosi","2005","General","Entre.1.y.4",22
"Sinaloa ","2005","General","Entre.1.y.4",579
"Sonora ","2005","General","Entre.1.y.4",666
"Tabasco ","2005","General","Entre.1.y.4",1
"Tamaulipas ","2005","General","Entre.1.y.4",15
"Tlaxcala ","2005","General","Entre.1.y.4",5
"Veracruz ","2005","General","Entre.1.y.4",15
"Yucatan","2005","General","Entre.1.y.4",5
"Zacatecas ","2005","General","Entre.1.y.4",242
"Aguascalientes ","2006","General","Entre.1.y.4",142
"Baja California ","2006","General","Entre.1.y.4",8
"Baja California Sur","2006","General","Entre.1.y.4",14
"Campeche ","2006","General","Entre.1.y.4",1
"Coahuila ","2006","General","Entre.1.y.4",4
"Colima ","2006","General","Entre.1.y.4",592
"Chiapas ","2006","General","Entre.1.y.4",15
"Chihuahua ","2006","General","Entre.1.y.4",51
"Distrito Federal ","2006","General","Entre.1.y.4",36
"Durango ","2006","General","Entre.1.y.4",437
"Guanajuato ","2006","General","Entre.1.y.4",2435
"Guerrero ","2006","General","Entre.1.y.4",4112
"Hidalgo ","2006","General","Entre.1.y.4",11
"Jalisco ","2006","General","Entre.1.y.4",4788
"Mexico","2006","General","Entre.1.y.4",773
"Michoacan","2006","General","Entre.1.y.4",3040
"Morelos ","2006","General","Entre.1.y.4",2755
"Nayarit ","2006","General","Entre.1.y.4",1048
"Nuevo Leon","2006","General","Entre.1.y.4",10
"Oaxaca ","2006","General","Entre.1.y.4",420
"Puebla ","2006","General","Entre.1.y.4",1314
"Queretaro","2006","General","Entre.1.y.4",299
"Quintana Roo ","2006","General","Entre.1.y.4",7
"San Luis Potosi","2006","General","Entre.1.y.4",35
"Sinaloa ","2006","General","Entre.1.y.4",586
"Sonora ","2006","General","Entre.1.y.4",581
"Tabasco ","2006","General","Entre.1.y.4",2
"Tamaulipas ","2006","General","Entre.1.y.4",27
"Tlaxcala ","2006","General","Entre.1.y.4",2
"Veracruz ","2006","General","Entre.1.y.4",27
"Yucatan","2006","General","Entre.1.y.4",6
"Zacatecas ","2006","General","Entre.1.y.4",336
"Aguascalientes ","2007","General","Entre.1.y.4",146
"Baja California ","2007","General","Entre.1.y.4",9
"Baja California Sur","2007","General","Entre.1.y.4",16
"Campeche ","2007","General","Entre.1.y.4",4
"Coahuila ","2007","General","Entre.1.y.4",14
"Colima ","2007","General","Entre.1.y.4",479
"Chiapas ","2007","General","Entre.1.y.4",17
"Chihuahua ","2007","General","Entre.1.y.4",49
"Distrito Federal ","2007","General","Entre.1.y.4",29
"Durango ","2007","General","Entre.1.y.4",469
"Guanajuato ","2007","General","Entre.1.y.4",2313
"Guerrero ","2007","General","Entre.1.y.4",3697
"Hidalgo ","2007","General","Entre.1.y.4",7
"Jalisco ","2007","General","Entre.1.y.4",4324
"Mexico","2007","General","Entre.1.y.4",759
"Michoacan","2007","General","Entre.1.y.4",2595
"Morelos ","2007","General","Entre.1.y.4",2713
"Nayarit ","2007","General","Entre.1.y.4",1095
"Nuevo Leon","2007","General","Entre.1.y.4",16
"Oaxaca ","2007","General","Entre.1.y.4",451
"Puebla ","2007","General","Entre.1.y.4",1131
"Queretaro","2007","General","Entre.1.y.4",291
"Quintana Roo ","2007","General","Entre.1.y.4",8
"San Luis Potosi","2007","General","Entre.1.y.4",22
"Sinaloa ","2007","General","Entre.1.y.4",614
"Sonora ","2007","General","Entre.1.y.4",635
"Tabasco ","2007","General","Entre.1.y.4",4
"Tamaulipas ","2007","General","Entre.1.y.4",23
"Tlaxcala ","2007","General","Entre.1.y.4",2
"Veracruz ","2007","General","Entre.1.y.4",36
"Yucatan","2007","General","Entre.1.y.4",4
"Zacatecas ","2007","General","Entre.1.y.4",307
"Aguascalientes ","2008","General","Entre.1.y.4",131
"Baja California ","2008","General","Entre.1.y.4",10
"Baja California Sur","2008","General","Entre.1.y.4",11
"Campeche ","2008","General","Entre.1.y.4",15
"Coahuila ","2008","General","Entre.1.y.4",19
"Colima ","2008","General","Entre.1.y.4",543
"Chiapas ","2008","General","Entre.1.y.4",26
"Chihuahua ","2008","General","Entre.1.y.4",54
"Distrito Federal ","2008","General","Entre.1.y.4",36
"Durango ","2008","General","Entre.1.y.4",445
"Guanajuato ","2008","General","Entre.1.y.4",2273
"Guerrero ","2008","General","Entre.1.y.4",3756
"Hidalgo ","2008","General","Entre.1.y.4",6
"Jalisco ","2008","General","Entre.1.y.4",4253
"Mexico","2008","General","Entre.1.y.4",907
"Michoacan","2008","General","Entre.1.y.4",2781
"Morelos ","2008","General","Entre.1.y.4",2541
