"Estado","Menor.a.1","Entre.1.y.4","Entre.5.y.9","Entre.10.y.14","Entre.15.y.19","Entre.20.y.24","Entre.25.y.44","Entre.45.y.49","Entre.50.y.59","Entre.60.y.64","Mayor.a.65","Ign","Total","Ano","Tipo"
"Nayarit ",91,991,1276,1673,1917,1458,4239,827,1207,443,1003,3,15128,"2008","General"
"Nuevo Leon",3,17,17,11,16,26,102,11,18,3,9,0,233,"2008","General"
"Oaxaca ",35,424,542,704,715,484,1402,318,439,206,575,3,5847,"2008","General"
"Puebla ",67,1189,1631,1863,1977,1446,3347,798,1187,543,1392,3,15443,"2008","General"
"Queretaro",35,327,317,459,440,446,1454,181,281,89,199,0,4228,"2008","General"
"Quintana Roo ",0,7,6,7,6,13,31,5,7,0,4,0,86,"2008","General"
"San Luis Potosi",2,19,21,41,25,33,107,30,32,18,25,0,353,"2008","General"
"Sinaloa ",72,620,730,847,1027,881,2344,497,641,258,569,1,8487,"2008","General"
"Sonora ",63,473,471,481,497,402,1066,218,286,100,188,3,4248,"2008","General"
"Tabasco ",0,3,3,3,9,5,24,0,4,0,2,0,53,"2008","General"
"Tamaulipas ",4,30,27,30,24,34,107,15,13,11,12,0,307,"2008","General"
"Tlaxcala ",0,3,3,3,7,7,24,2,2,0,1,0,52,"2008","General"
"Veracruz ",4,16,23,18,25,29,63,13,30,8,13,0,242,"2008","General"
"Yucatan",0,7,3,5,5,6,26,3,6,1,1,0,63,"2008","General"
"Zacatecas ",23,289,376,435,473,406,1008,222,296,141,343,5,4017,"2008","General"
"Total",1800,22222,28997,32730,33231,26832,70011,13205,18593,7472,16594,289,271976,"2008","General"
"Aguascalientes ",6,137,196,251,259,220,474,83,102,68,116,0,1912,"2009","General"
"Baja California ",3,13,13,24,23,25,68,11,10,2,12,0,204,"2009","General"
"Baja California Sur",0,10,6,8,11,12,31,3,10,1,7,0,99,"2009","General"
"Campeche ",0,4,1,3,10,18,29,4,7,6,5,0,87,"2009","General"
"Coahuila ",1,23,28,19,35,29,52,8,8,1,1,0,205,"2009","General"
"Colima ",41,586,673,957,1258,1229,3245,578,812,288,508,7,10182,"2009","General"
"Chiapas ",2,37,25,21,31,48,121,23,41,12,24,0,385,"2009","General"
"Chihuahua ",9,60,43,42,40,42,92,27,21,13,15,1,405,"2009","General"
"Distrito Federal ",2,26,40,54,46,58,158,20,36,6,14,0,460,"2009","General"
"Durango ",38,380,540,639,765,669,1685,301,409,149,321,0,5896,"2009","General"
"Guanajuato ",132,2003,2791,3378,3527,2844,7151,1188,1525,554,1253,0,26346,"2009","General"
"Guerrero ",286,4175,5449,6194,6054,4367,11658,2122,3344,1278,3172,60,48159,"2009","General"
"Hidalgo ",0,9,9,20,18,19,63,15,24,4,15,0,196,"2009","General"
"Jalisco ",351,4148,5568,6164,6735,5948,16227,2543,4064,1585,3361,86,56780,"2009","General"
"Mexico",76,947,1284,1244,1277,859,1964,389,501,226,491,2,9260,"2009","General"
"Michoacan",262,2887,3688,4091,4269,3473,8606,1506,2178,870,1912,9,33751,"2009","General"
"Morelos ",146,2640,3464,3610,3962,3434,8434,1786,2768,1041,2087,43,33415,"2009","General"
"Nayarit ",89,1004,1232,1607,1902,1647,4408,843,1119,488,1018,128,15485,"2009","General"
"Nuevo Leon",3,18,18,26,20,31,134,9,12,10,9,0,290,"2009","General"
"Oaxaca ",38,389,576,646,671,523,1331,311,474,202,608,6,5775,"2009","General"
"Puebla ",69,1116,1559,1786,1961,1565,3597,866,1306,549,1343,2,15719,"2009","General"
"Queretaro",37,288,331,402,410,388,1425,192,294,88,163,0,4018,"2009","General"
"Quintana Roo ",4,15,11,11,12,23,70,14,12,6,8,0,186,"2009","General"
"San Luis Potosi",4,19,26,33,27,28,98,13,35,8,21,0,312,"2009","General"
"Sinaloa ",71,654,817,974,1027,904,2402,521,788,353,644,4,9159,"2009","General"
"Sonora ",43,497,505,513,485,398,1060,187,313,104,238,140,4483,"2009","General"
"Tabasco ",0,5,5,3,4,3,14,2,3,3,4,0,46,"2009","General"
"Tamaulipas ",3,29,30,23,23,28,117,17,18,5,11,3,307,"2009","General"
"Tlaxcala ",0,9,6,5,6,6,19,3,3,1,5,0,63,"2009","General"
"Veracruz ",4,21,13,20,28,35,88,22,32,15,22,0,300,"2009","General"
"Yucatan",0,1,2,4,6,3,10,5,7,2,3,0,43,"2009","General"
"Zacatecas ",14,255,349,403,430,408,949,215,264,124,317,10,3738,"2009","General"
"Total",1734,22405,29298,33175,35332,29284,75780,13827,20540,8062,17728,501,287666,"2009","General"
"Aguascalientes ",4,134,200,263,331,228,523,90,129,48,129,0,2079,"2010","General"
"Baja California ",0,7,11,12,7,24,29,8,13,1,4,0,116,"2010","General"
"Baja California Sur",0,6,11,8,10,12,26,3,3,1,3,0,83,"2010","General"
"Campeche ",0,3,7,5,11,11,27,5,4,5,9,1,88,"2010","General"
"Coahuila ",1,15,25,19,32,39,99,8,20,3,3,1,265,"2010","General"
"Colima ",49,578,705,956,1245,1296,3413,597,882,320,647,20,10708,"2010","General"
"Chiapas ",2,19,21,24,31,28,102,17,37,5,27,0,313,"2010","General"
"Chihuahua ",5,45,37,48,34,48,105,13,32,7,23,0,397,"2010","General"
"Distrito Federal ",2,42,45,56,66,53,181,29,35,17,16,0,542,"2010","General"
"Durango ",48,402,599,720,896,859,2005,370,463,224,379,0,6965,"2010","General"
"Guanajuato ",154,2291,3014,3704,4019,3147,7963,1310,1649,616,1383,0,29250,"2010","General"
"Guerrero ",326,4043,5253,6127,5884,4515,11687,2182,3351,1303,3007,45,47723,"2010","General"
"Hidalgo ",2,4,12,18,19,20,56,11,11,3,14,0,170,"2010","General"
"Jalisco ",317,3907,4952,5805,6215,5616,14658,2419,3633,1380,3216,130,52248,"2010","General"
"Mexico",55,903,1048,1103,1111,794,1819,366,457,178,436,9,8279,"2010","General"
"Michoacan",335,2818,3295,3820,4003,3390,8290,1382,1999,801,1787,25,31945,"2010","General"
"Morelos ",156,2321,3231,3468,3731,3142,7911,1732,2490,785,1895,80,30942,"2010","General"
"Nayarit ",80,955,1136,1448,1687,1525,3765,798,988,435,819,3,13639,"2010","General"
"Nuevo Leon",2,15,15,17,14,19,79,9,17,3,4,0,194,"2010","General"
"Oaxaca ",40,406,524,609,628,557,1269,269,423,191,573,4,5493,"2010","General"
"Puebla ",70,1083,1524,1761,2000,1576,3798,816,1304,548,1437,32,15949,"2010","General"
"Queretaro",40,251,287,434,523,526,1755,280,376,124,241,0,4837,"2010","General"
"Quintana Roo ",1,13,13,13,20,25,79,13,9,2,2,0,190,"2010","General"
"San Luis Potosi",2,17,14,12,39,26,64,17,19,7,16,0,233,"2010","General"
"Sinaloa ",42,614,717,918,1018,888,2341,529,807,332,608,2,8816,"2010","General"
"Sonora ",43,452,471,437,465,418,1071,200,337,113,232,3,4242,"2010","General"
"Tabasco ",0,1,3,7,2,10,17,3,5,3,2,0,53,"2010","General"
"Tamaulipas ",3,28,22,16,30,38,83,10,27,6,9,0,272,"2010","General"
"Tlaxcala ",0,2,7,10,12,4,13,3,8,2,2,0,63,"2010","General"
"Veracruz ",2,17,13,13,26,32,74,14,22,8,21,0,242,"2010","General"
"Yucatan",0,9,7,4,5,5,22,8,5,2,3,0,70,"2010","General"
"Zacatecas ",13,281,338,402,484,396,934,186,271,104,336,9,3754,"2010","General"
"Total",1794,21682,27557,32257,34598,29267,74258,13697,19826,7577,17283,364,280160,"2010","General"
"Aguascalientes ",7,144,178,271,302,218,564,87,133,48,136,0,2088,"2011","General"
"Baja California ",1,6,24,15,12,11,40,7,7,4,2,0,129,"2011","General"
"Baja California Sur",1,7,7,7,8,16,40,5,11,2,2,0,106,"2011","General"
"Campeche ",0,9,4,9,12,11,30,5,10,3,1,0,94,"2011","General"
"Coahuila ",1,19,17,17,20,28,68,15,12,2,4,0,203,"2011","General"
"Colima ",63,653,825,1095,1355,1392,3845,599,970,315,653,16,11781,"2011","General"
"Chiapas ",5,33,20,25,32,35,119,19,30,13,32,0,363,"2011","General"
"Chihuahua ",11,60,43,50,44,52,120,15,24,15,17,0,451,"2011","General"
"Distrito Federal ",4,29,47,59,54,58,167,28,29,12,25,1,513,"2011","General"
"Durango ",38,441,651,779,969,922,2187,432,570,240,440,0,7669,"2011","General"
"Guanajuato ",143,2606,3179,3964,3974,3318,8116,1339,1824,687,1392,6,30548,"2011","General"
"Guerrero ",336,4140,5523,6505,6514,5058,12575,2333,3612,1383,3274,31,51284,"2011","General"
"Hidalgo ",2,14,18,27,27,23,64,8,20,1,15,0,219,"2011","General"
"Jalisco ",352,4094,5019,5719,6178,5602,14856,2409,3550,1359,2957,119,52214,"2011","General"
"Mexico",83,1019,1238,1313,1197,969,2270,393,548,241,505,5,9781,"2011","General"
"Michoacan",273,2623,3286,3655,4109,3435,8672,1543,2024,846,1634,6,32106,"2011","General"
