"Estado","Menor.a.1","Entre.1.y.4","Entre.5.y.9","Entre.10.y.14","Entre.15.y.19","Entre.20.y.24","Entre.25.y.44","Entre.45.y.49","Entre.50.y.59","Entre.60.y.64","Mayor.a.65","Ign","Total","Ano","Tipo"
"Durango ",15,198,280,340,410,355,1006,173,209,73,175,0,3234,"2008","Mujeres"
"Guanajuato ",90,1046,1406,1614,1833,1611,4618,691,1035,344,928,5,15221,"2008","Mujeres"
"Guerrero ",147,1746,2319,2503,2399,1917,5242,934,1400,608,1274,9,20498,"2008","Mujeres"
"Hidalgo ",0,3,10,9,10,18,51,7,8,3,6,0,125,"2008","Mujeres"
"Jalisco ",155,1946,2602,2882,3184,2811,7933,1289,1926,662,1474,33,26897,"2008","Mujeres"
"Mexico",41,389,507,503,504,373,1060,182,256,102,245,2,4164,"2008","Mujeres"
"Michoacan",108,1306,1654,1864,1913,1661,4185,796,1039,363,853,129,15871,"2008","Mujeres"
"Morelos ",61,1122,1481,1543,1848,1781,3965,950,1260,494,826,5,15336,"2008","Mujeres"
"Nayarit ",51,440,589,753,847,672,1948,421,568,186,405,0,6880,"2008","Mujeres"
"Nuevo Leon",0,5,9,8,7,20,60,5,12,1,7,0,134,"2008","Mujeres"
"Oaxaca ",17,178,255,336,392,285,936,209,279,121,321,2,3331,"2008","Mujeres"
"Puebla ",37,554,739,892,1031,830,1940,443,677,304,761,1,8209,"2008","Mujeres"
"Queretaro",11,160,146,230,225,275,852,113,184,56,117,0,2369,"2008","Mujeres"
"Quintana Roo ",0,4,3,1,2,7,27,3,5,0,3,0,55,"2008","Mujeres"
"San Luis Potosi",1,8,8,28,17,25,77,25,22,10,18,0,239,"2008","Mujeres"
"Sinaloa ",36,288,346,412,566,522,1397,291,369,146,288,1,4662,"2008","Mujeres"
"Sonora ",29,221,240,250,339,270,705,148,202,63,123,2,2592,"2008","Mujeres"
"Tabasco ",0,2,1,1,6,3,17,0,2,0,1,0,33,"2008","Mujeres"
"Tamaulipas ",2,13,13,12,15,20,70,11,9,9,8,0,182,"2008","Mujeres"
"Tlaxcala ",0,2,3,2,5,4,11,1,2,0,1,0,31,"2008","Mujeres"
"Veracruz ",2,6,12,10,12,22,39,12,18,7,9,0,149,"2008","Mujeres"
"Yucatan",0,4,1,2,5,4,10,3,4,1,0,0,34,"2008","Mujeres"
"Zacatecas ",11,119,194,203,239,206,562,120,171,67,163,0,2055,"2008","Mujeres"
"Total",861,10117,13373,15038,16699,14560,38792,7206,10153,3772,8318,207,139096,"2008","Mujeres"
"Aguascalientes ",3,69,99,112,139,114,259,47,53,25,53,0,973,"2009","Mujeres"
"Baja California ",1,6,7,10,13,11,35,10,7,1,7,0,108,"2009","Mujeres"
"Baja California Sur",0,4,3,1,7,8,17,1,3,0,3,0,47,"2009","Mujeres"
"Campeche ",0,2,1,1,8,11,17,3,5,4,3,0,55,"2009","Mujeres"
"Coahuila ",1,10,16,10,23,19,29,6,4,1,0,0,119,"2009","Mujeres"
"Colima ",16,277,306,422,591,566,1555,253,376,108,211,4,4685,"2009","Mujeres"
"Chiapas ",1,18,11,8,19,34,83,17,25,8,16,0,240,"2009","Mujeres"
"Chihuahua ",6,26,23,16,13,27,57,17,17,8,8,1,219,"2009","Mujeres"
"Distrito Federal ",2,15,20,21,23,29,91,12,24,5,4,0,246,"2009","Mujeres"
"Durango ",17,179,281,309,389,367,911,172,224,84,173,0,3106,"2009","Mujeres"
"Guanajuato ",59,925,1340,1640,1895,1600,4210,667,864,310,659,0,14169,"2009","Mujeres"
"Guerrero ",148,1870,2437,2677,2856,2302,6376,1134,1778,659,1564,44,23845,"2009","Mujeres"
"Hidalgo ",0,4,4,11,12,14,36,11,11,3,10,0,116,"2009","Mujeres"
"Jalisco ",165,1902,2515,2792,3148,3007,8324,1309,2006,733,1527,47,27475,"2009","Mujeres"
"Mexico",31,432,570,547,653,443,1097,220,277,120,238,1,4629,"2009","Mujeres"
"Michoacan",118,1305,1675,1908,2153,1843,4603,792,1150,451,908,4,16910,"2009","Mujeres"
"Morelos ",81,1141,1597,1661,1989,1833,4448,886,1314,482,949,13,16394,"2009","Mujeres"
"Nayarit ",34,471,537,726,826,777,2053,383,495,189,378,126,6995,"2009","Mujeres"
"Nuevo Leon",3,8,9,11,15,18,89,1,6,5,6,0,171,"2009","Mujeres"
"Oaxaca ",17,189,294,325,368,322,867,185,268,119,360,4,3318,"2009","Mujeres"
"Puebla ",26,521,717,840,948,889,2069,496,738,289,755,1,8289,"2009","Mujeres"
"Queretaro",19,115,145,201,200,206,794,111,176,50,79,0,2096,"2009","Mujeres"
"Quintana Roo ",4,8,4,4,6,11,45,8,11,4,3,0,108,"2009","Mujeres"
"San Luis Potosi",2,9,8,17,15,18,61,7,15,6,12,0,170,"2009","Mujeres"
"Sinaloa ",21,277,396,490,568,508,1447,295,435,198,318,3,4956,"2009","Mujeres"
"Sonora ",16,217,236,252,308,257,675,111,211,75,156,133,2647,"2009","Mujeres"
"Tabasco ",0,4,1,0,2,2,9,1,1,2,2,0,24,"2009","Mujeres"
"Tamaulipas ",0,10,18,12,16,16,90,9,11,2,6,0,190,"2009","Mujeres"
"Tlaxcala ",0,5,3,1,4,4,13,2,0,1,2,0,35,"2009","Mujeres"
"Veracruz ",0,12,7,11,13,22,55,13,20,3,6,0,162,"2009","Mujeres"
"Yucatan",0,0,1,3,2,2,7,3,5,1,3,0,27,"2009","Mujeres"
"Zacatecas ",10,127,149,184,231,240,520,108,127,70,149,1,1916,"2009","Mujeres"
"Total",801,10158,13430,15223,17453,15520,40942,7290,10657,4016,8568,382,144440,"2009","Mujeres"
"Aguascalientes ",2,60,88,126,178,126,279,50,65,21,58,0,1053,"2010","Mujeres"
"Baja California ",0,2,1,2,5,12,22,4,4,1,1,0,54,"2010","Mujeres"
"Baja California Sur",0,4,9,2,5,8,16,3,1,0,3,0,51,"2010","Mujeres"
"Campeche ",0,2,6,2,5,8,19,4,1,4,5,0,56,"2010","Mujeres"
"Coahuila ",1,8,10,9,25,27,53,7,11,3,3,0,157,"2010","Mujeres"
"Colima ",32,265,304,425,544,568,1575,274,396,116,273,8,4780,"2010","Mujeres"
"Chiapas ",0,8,12,14,17,15,69,10,22,2,13,0,182,"2010","Mujeres"
"Chihuahua ",2,20,18,28,20,26,59,6,14,6,14,0,213,"2010","Mujeres"
"Distrito Federal ",2,19,19,32,34,35,112,13,20,12,10,0,308,"2010","Mujeres"
"Durango ",31,176,284,322,480,439,1020,194,244,125,202,0,3517,"2010","Mujeres"
"Guanajuato ",74,1092,1458,1848,2168,1841,4709,779,953,351,750,0,16023,"2010","Mujeres"
"Guerrero ",144,1864,2406,2775,2884,2448,6538,1177,1853,688,1502,17,24296,"2010","Mujeres"
"Hidalgo ",1,1,6,10,13,13,37,6,5,2,8,0,102,"2010","Mujeres"
"Jalisco ",148,1742,2290,2655,3025,2778,7611,1250,1927,647,1510,84,25667,"2010","Mujeres"
"Mexico",25,398,468,501,556,464,1074,214,263,104,245,3,4315,"2010","Mujeres"
"Michoacan",104,1252,1532,1798,2080,1808,4513,711,1053,403,852,5,16111,"2010","Mujeres"
"Morelos ",87,1051,1545,1638,1876,1732,4324,893,1266,381,892,37,15722,"2010","Mujeres"
"Nayarit ",37,437,533,649,746,711,1707,355,476,185,319,1,6156,"2010","Mujeres"
"Nuevo Leon",1,8,10,9,9,9,49,6,9,3,3,0,116,"2010","Mujeres"
"Oaxaca ",16,199,270,312,328,338,780,156,261,124,335,3,3122,"2010","Mujeres"
"Puebla ",38,477,727,857,1037,891,2221,448,728,301,792,0,8517,"2010","Mujeres"
"Queretaro",24,121,114,182,285,298,993,174,238,85,129,0,2643,"2010","Mujeres"
"Quintana Roo ",0,5,7,6,13,16,54,8,7,1,0,0,117,"2010","Mujeres"
"San Luis Potosi",1,6,8,8,30,14,51,10,9,5,7,0,149,"2010","Mujeres"
"Sinaloa ",21,299,352,449,571,512,1352,304,476,171,319,1,4827,"2010","Mujeres"
"Sonora ",20,207,224,246,296,267,701,116,226,69,154,2,2528,"2010","Mujeres"
"Tabasco ",0,1,2,4,2,7,12,1,4,2,2,0,37,"2010","Mujeres"
"Tamaulipas ",0,14,9,8,22,29,51,5,20,6,5,0,169,"2010","Mujeres"
"Tlaxcala ",0,1,4,5,4,3,7,2,7,1,1,0,35,"2010","Mujeres"
"Veracruz ",1,9,4,6,11,22,42,10,16,3,11,0,135,"2010","Mujeres"
"Yucatan",0,5,0,3,3,4,17,3,3,1,2,0,41,"2010","Mujeres"
"Zacatecas ",7,144,174,204,248,215,490,106,147,43,166,4,1948,"2010","Mujeres"
"Total",819,9897,12894,15135,17520,15684,40557,7299,10725,3866,8586,165,143147,"2010","Mujeres"
"Aguascalientes ",4,72,89,121,159,128,310,45,78,32,67,0,1105,"2011","Mujeres"
"Baja California ",1,1,12,8,5,6,21,1,6,4,2,0,67,"2011","Mujeres"
"Baja California Sur",0,4,2,5,8,13,26,2,7,1,1,0,69,"2011","Mujeres"
"Campeche ",0,6,2,6,6,9,16,3,8,3,0,0,59,"2011","Mujeres"
"Coahuila ",0,8,7,10,12,17,37,8,7,1,2,0,109,"2011","Mujeres"
"Colima ",32,308,350,486,581,674,1721,271,453,110,272,7,5265,"2011","Mujeres"
"Chiapas ",2,15,8,16,15,25,77,9,19,6,16,0,208,"2011","Mujeres"
"Chihuahua ",8,29,23,27,31,36,68,9,20,6,9,0,266,"2011","Mujeres"
"Distrito Federal ",1,15,21,31,36,29,101,18,17,8,13,1,291,"2011","Mujeres"
"Durango ",19,200,307,378,497,473,1194,243,345,126,251,0,4033,"2011","Mujeres"
"Guanajuato ",69,1184,1535,2005,2152,1917,4707,796,1053,356,765,4,16543,"2011","Mujeres"
"Guerrero ",169,1951,2540,3015,3153,2722,6983,1258,1939,692,1634,10,26066,"2011","Mujeres"
"Hidalgo ",0,9,11,13,18,13,49,7,9,1,9,0,139,"2011","Mujeres"
"Jalisco ",163,1857,2288,2646,3098,2893,7639,1262,1840,678,1352,72,25788,"2011","Mujeres"
"Mexico",35,472,563,603,608,553,1257,226,305,128,278,1,5029,"2011","Mujeres"
"Michoacan",129,1175,1469,1711,2040,1826,4732,803,1090,438,771,1,16185,"2011","Mujeres"
"Morelos ",62,1258,1644,1913,2232,2065,5090,1043,1559,449,1032,42,18389,"2011","Mujeres"
"Nayarit ",40,418,511,636,746,677,1909,323,457,184,382,0,6283,"2011","Mujeres"
"Nuevo Leon",0,6,8,10,13,17,51,8,7,0,3,0,123,"2011","Mujeres"
"Oaxaca ",13,170,273,292,331,313,761,190,273,105,313,3,3037,"2011","Mujeres"
"Puebla ",41,455,715,755,936,864,2086,462,717,294,711,3,8039,"2011","Mujeres"
"Queretaro",23,199,166,231,322,318,1059,186,298,89,161,0,3052,"2011","Mujeres"
"Quintana Roo ",1,8,8,5,13,21,54,9,8,1,6,1,135,"2011","Mujeres"
"San Luis Potosi",1,1,11,9,16,19,48,12,16,2,13,0,148,"2011","Mujeres"
"Sinaloa ",21,297,359,520,620,556,1576,310,483,214,315,12,5283,"2011","Mujeres"
"Sonora ",28,285,298,353,390,353,970,175,292,106,168,2,3420,"2011","Mujeres"
"Tabasco ",1,3,3,1,0,8,11,3,3,2,2,0,37,"2011","Mujeres"
"Tamaulipas ",1,12,16,14,23,16,75,13,20,8,7,0,205,"2011","Mujeres"
"Tlaxcala ",0,0,5,4,1,10,12,0,2,0,4,0,38,"2011","Mujeres"
"Veracruz ",0,5,11,15,13,14,56,8,17,3,10,1,153,"2011","Mujeres"
"Yucatan",0,0,0,5,1,6,19,3,6,1,4,0,45,"2011","Mujeres"
"Zacatecas ",12,113,158,172,227,201,504,105,151,77,157,0,1877,"2011","Mujeres"
"Total",876,10536,13413,16016,18303,16792,43219,7811,11505,4125,8730,160,151486,"2011","Mujeres"
"Aguascalientes ",2,62,96,151,175,142,313,56,94,29,72,0,1192,"2012","Mujeres"
"Baja California ",1,6,3,9,9,9,22,1,5,2,2,0,69,"2012","Mujeres"
"Baja California Sur",1,7,4,6,11,14,34,2,5,3,2,0,89,"2012","Mujeres"
"Campeche ",1,1,0,3,4,7,15,5,4,3,9,0,52,"2012","Mujeres"
"Coahuila ",2,7,6,13,9,22,57,8,5,0,0,0,129,"2012","Mujeres"
"Colima ",20,300,325,403,624,595,1771,237,470,131,301,136,5313,"2012","Mujeres"
"Chiapas ",2,6,5,13,24,24,71,10,19,6,7,0,187,"2012","Mujeres"
"Chihuahua ",5,28,24,26,31,22,85,19,11,7,18,0,276,"2012","Mujeres"
"Distrito Federal ",0,9,19,37,34,25,65,16,24,9,9,0,247,"2012","Mujeres"
"Durango ",29,239,312,417,546,484,1192,255,295,121,219,0,4109,"2012","Mujeres"
"Guanajuato ",103,1341,1879,2234,2220,2165,5787,955,1424,446,944,12,19510,"2012","Mujeres"
"Guerrero ",198,2323,2904,3141,3502,2992,7808,1398,2169,789,1764,14,29002,"2012","Mujeres"
"Hidalgo ",1,7,10,19,12,12,49,10,13,4,11,0,148,"2012","Mujeres"
"Jalisco ",132,1823,2343,2782,2954,3058,8125,1374,2060,693,1367,46,26757,"2012","Mujeres"
"Mexico",49,497,592,694,707,597,1321,227,346,109,294,252,5685,"2012","Mujeres"
"Michoacan",139,1374,1553,1853,2196,2132,4805,926,1222,499,901,3,17603,"2012","Mujeres"
"Morelos ",60,1168,1566,1798,1986,1883,4519,815,1264,404,840,10,16313,"2012","Mujeres"
"Nayarit ",57,467,651,718,916,811,2071,399,561,222,406,2,7281,"2012","Mujeres"
"Nuevo Leon",1,5,7,7,13,21,48,9,16,5,7,0,139,"2012","Mujeres"
"Oaxaca ",12,185,239,278,366,294,808,215,264,112,317,2,3092,"2012","Mujeres"
"Puebla ",38,467,678,780,944,946,2063,462,663,299,722,6,8068,"2012","Mujeres"
"Queretaro",7,148,175,216,304,330,1090,179,278,81,163,0,2971,"2012","Mujeres"
"Quintana Roo ",1,3,5,4,6,12,16,6,5,0,2,2,62,"2012","Mujeres"
"San Luis Potosi",0,11,12,20,23,34,71,14,21,7,24,0,237,"2012","Mujeres"
"Sinaloa ",25,334,424,472,589,636,1741,325,543,224,398,5,5716,"2012","Mujeres"
"Sonora ",31,278,349,372,416,391,1048,184,345,105,203,2,3724,"2012","Mujeres"
"Tabasco ",0,4,3,2,1,11,20,1,7,1,0,0,50,"2012","Mujeres"
"Tamaulipas ",4,25,25,18,29,35,107,22,26,7,24,1,323,"2012","Mujeres"
"Tlaxcala ",0,2,1,3,2,7,11,1,4,2,3,0,36,"2012","Mujeres"
"Veracruz ",0,11,9,8,20,17,40,10,26,5,13,0,159,"2012","Mujeres"
"Yucatan",0,2,2,4,1,5,15,1,2,2,2,0,36,"2012","Mujeres"
"Zacatecas ",5,114,157,181,200,201,494,108,162,75,176,3,1876,"2012","Mujeres"
"Total",926,11254,14378,16682,18874,17934,45682,8250,12353,4402,9220,496,160451,"2012","Mujeres"
"Aguascalientes ",9,64,92,104,140,128,253,67,89,33,61,0,1040,"2013","Mujeres"
"Baja California ",2,10,11,3,5,13,35,2,5,2,1,0,89,"2013","Mujeres"
"Baja California Sur",1,2,3,5,4,8,7,2,4,1,0,0,37,"2013","Mujeres"
"Campeche ",0,0,2,2,4,6,16,3,5,4,4,0,46,"2013","Mujeres"
"Coahuila ",0,7,9,11,10,20,51,2,7,2,6,0,125,"2013","Mujeres"
"Colima ",22,257,371,466,592,613,1706,286,443,121,265,2,5144,"2013","Mujeres"
"Chiapas ",0,6,13,16,13,17,76,17,35,4,16,0,213,"2013","Mujeres"
"Chihuahua ",6,25,13,23,25,24,62,15,13,4,6,0,216,"2013","Mujeres"
"Distrito Federal ",3,15,31,28,30,42,91,22,24,4,7,0,297,"2013","Mujeres"
"Durango ",37,291,356,499,568,565,1484,280,371,173,334,0,4958,"2013","Mujeres"
"Guanajuato ",104,1228,1716,2122,2035,1976,5481,872,1350,438,973,9,18304,"2013","Mujeres"
"Guerrero ",169,2302,2900,3306,3571,3221,8307,1633,2388,828,1984,18,30627,"2013","Mujeres"
"Hidalgo ",0,6,17,9,17,21,43,7,10,6,6,0,142,"2013","Mujeres"
"Jalisco ",153,1921,2230,2689,2983,2972,8077,1372,2135,705,1502,30,26769,"2013","Mujeres"
"Mexico",29,560,642,665,667,659,1520,268,417,158,345,128,6058,"2013","Mujeres"
"Michoacan",104,1432,1620,1927,2103,2181,5138,955,1316,469,931,61,18237,"2013","Mujeres"
"Morelos ",38,1071,1498,1705,1968,1901,4707,877,1348,481,942,26,16562,"2013","Mujeres"
"Nayarit ",127,560,590,740,740,865,2076,486,601,249,464,52,7550,"2013","Mujeres"
"Nuevo Leon",1,6,7,9,10,10,47,7,4,2,8,0,111,"2013","Mujeres"
"Oaxaca ",13,187,255,285,320,341,862,206,319,127,315,4,3234,"2013","Mujeres"
"Puebla ",32,451,508,679,849,755,1823,402,598,277,627,2,7003,"2013","Mujeres"
"Queretaro",8,119,145,201,316,370,1207,186,301,95,189,0,3137,"2013","Mujeres"
"Quintana Roo ",1,6,1,2,9,10,25,5,11,1,3,1,75,"2013","Mujeres"
"San Luis Potosi",2,10,14,11,24,34,68,14,28,13,19,0,237,"2013","Mujeres"
"Sinaloa ",31,356,372,531,596,669,1724,349,572,186,367,5,5758,"2013","Mujeres"
"Sonora ",32,278,314,344,406,353,988,173,338,101,195,3,3525,"2013","Mujeres"
"Tabasco ",0,2,3,1,2,3,8,0,2,1,0,0,22,"2013","Mujeres"
"Tamaulipas ",0,20,20,30,35,27,99,16,25,7,19,1,299,"2013","Mujeres"
"Tlaxcala ",0,1,3,0,2,4,8,5,4,1,1,0,29,"2013","Mujeres"
"Veracruz ",2,6,3,4,9,18,58,8,15,6,8,0,137,"2013","Mujeres"
"Yucatan",0,2,1,1,6,2,6,1,4,3,2,0,28,"2013","Mujeres"
"Zacatecas ",11,120,160,224,249,237,562,131,168,80,178,0,2120,"2013","Mujeres"
"Total",937,11321,13920,16642,18308,18065,46615,8669,12950,4582,9778,342,162129,"2013","Mujeres"
