"Estado","Total","Ene","Feb","Mar","Abr","May","Jun","Jul","Ago","Sep","Oct","Nov","Dic","Ano","Tipo"
"Total",271976,13592,14878,16908,32450,28358,27423,27558,20316,26479,24048,19965,20001,"2008","General"
"Aguascalientes",1912,75,106,204,191,182,239,152,183,181,171,116,112,"2009","General"
"BajaCalifornia",204,2,2,5,6,19,30,41,35,46,12,4,2,"2009","General"
"BajaCaliforniaSur",99,5,2,7,5,13,14,10,6,18,7,6,6,"2009","General"
"Campeche",87,4,10,10,4,3,4,7,9,16,8,8,4,"2009","General"
"Coahuila",205,0,4,12,26,17,20,27,44,42,10,1,2,"2009","General"
"Colima",10182,683,595,795,670,850,1001,938,798,1090,1012,884,866,"2009","General"
"Chiapas",385,19,44,21,26,32,39,29,33,46,27,28,41,"2009","General"
"Chihuahua",405,7,13,29,27,60,66,59,43,46,35,14,6,"2009","General"
"DistritoFederal",460,28,37,28,34,48,62,59,41,39,30,24,30,"2009","General"
"Durango",5896,231,265,498,578,746,908,616,572,533,430,246,273,"2009","General"
"Guanajuato",26346,876,1333,2500,2752,3497,3387,2277,2298,2620,2015,1537,1254,"2009","General"
"Guerrero",48159,2304,2553,3830,3439,4509,5292,4166,3665,4645,4363,5209,4184,"2009","General"
"Hidalgo",196,7,10,16,22,16,25,24,19,22,18,9,8,"2009","General"
"Jalisco",56780,2781,3296,5449,5657,6072,6513,4650,4268,5544,5005,4059,3486,"2009","General"
"Mexico",9260,401,405,628,791,1296,1123,696,673,910,858,850,629,"2009","General"
"Michoacan",33751,1573,1630,2779,2732,3446,3719,2832,2771,3596,3237,2933,2503,"2009","General"
"Morelos",33415,1471,1727,3173,3518,3967,3661,2628,2558,3212,2873,2470,2157,"2009","General"
"Nayarit",15485,1021,1017,1028,971,1191,1873,1671,1411,1641,1507,1216,938,"2009","General"
"NuevoLeon",290,3,3,24,16,52,39,42,49,36,18,6,2,"2009","General"
"Oaxaca",5775,317,347,576,552,596,628,511,455,568,413,399,413,"2009","General"
"Puebla",15719,787,897,1689,1734,1668,1606,1192,1173,1418,1287,1172,1096,"2009","General"
"Queretaro",4018,123,226,365,402,525,486,377,411,390,287,209,217,"2009","General"
"QuintanaRoo",186,3,9,21,12,17,12,18,28,28,15,7,16,"2009","General"
"SanLuisPotosi",312,8,26,41,36,26,46,39,32,27,16,9,6,"2009","General"
"Sinaloa",9159,367,275,518,530,657,961,931,983,1360,996,730,851,"2009","General"
"Sonora",4483,84,64,226,279,657,811,701,542,516,295,195,113,"2009","General"
"Tabasco",46,2,3,6,6,3,9,2,4,6,0,3,2,"2009","General"
"Tamaulipas",307,7,11,22,23,31,48,43,41,45,21,10,5,"2009","General"
"Tlaxcala",63,2,0,7,8,7,9,11,4,1,5,7,2,"2009","General"
"Veracruz",300,10,23,32,24,27,35,32,44,32,21,13,7,"2009","General"
"Yucatan",43,1,3,3,2,1,6,3,2,10,6,4,2,"2009","General"
"Zacatecas",3738,125,164,311,335,437,524,404,377,369,288,210,194,"2009","General"
"Total",287666,13327,15100,24853,25408,30668,33196,25188,23572,29053,25286,22588,19427,"2009","General"
"Aguascalientes",2079,59,74,125,187,324,316,195,216,277,122,99,85,"2010","General"
"BajaCalifornia",116,1,3,3,14,16,13,13,20,10,13,9,1,"2010","General"
"BajaCaliforniaSur",83,0,0,2,4,11,15,9,11,16,4,7,4,"2010","General"
"Campeche",88,4,6,13,13,8,9,2,12,9,8,1,3,"2010","General"
"Coahuila",265,3,0,10,28,48,51,32,31,34,16,5,7,"2010","General"
"Colima",10708,666,654,829,797,833,1112,1082,1046,1334,899,808,648,"2010","General"
"Chiapas",313,30,21,27,34,23,26,22,25,24,32,21,28,"2010","General"
"Chihuahua",397,15,8,13,24,42,56,70,44,61,40,17,7,"2010","General"
"DistritoFederal",542,27,36,54,56,80,66,37,52,49,24,34,27,"2010","General"
"Durango",6965,166,159,297,536,970,1515,817,754,794,382,337,238,"2010","General"
"Guanajuato",29250,850,924,2510,3428,4997,4435,2463,2252,2781,2039,1408,1163,"2010","General"
"Guerrero",47723,3454,2925,4022,3959,4032,5741,4163,3907,4548,4268,3738,2966,"2010","General"
"Hidalgo",170,7,5,9,12,25,27,17,19,23,10,8,8,"2010","General"
"Jalisco",52248,2780,2548,4639,4840,6512,7059,4193,4381,5087,4456,3250,2503,"2010","General"
"Mexico",8279,405,358,622,720,916,1266,613,616,855,865,589,454,"2010","General"
"Michoacan",31945,1707,1667,2952,2855,3594,4043,2609,2701,3419,2750,2050,1598,"2010","General"
"Morelos",30942,1335,1420,2917,3372,3871,3952,2401,2376,3088,2798,1869,1543,"2010","General"
"Nayarit",13639,755,716,1074,942,1138,1709,1426,1470,1635,1207,849,718,"2010","General"
"NuevoLeon",194,2,1,6,17,22,40,20,32,27,12,9,6,"2010","General"
"Oaxaca",5493,319,289,542,541,539,704,468,424,503,428,391,345,"2010","General"
"Puebla",15949,836,861,1544,1848,1770,2044,1365,1285,1286,1206,909,995,"2010","General"
"Queretaro",4837,162,148,340,420,659,840,486,410,511,398,246,217,"2010","General"
"QuintanaRoo",190,3,6,14,10,27,23,21,13,25,23,14,11,"2010","General"
"SanLuisPotosi",233,5,2,23,21,32,42,30,28,15,14,10,11,"2010","General"
"Sinaloa",8816,352,365,558,560,635,979,945,1107,1355,972,595,393,"2010","General"
"Sonora",4242,52,87,157,246,421,1026,604,582,566,234,150,117,"2010","General"
"Tabasco",53,2,2,4,6,3,10,9,6,6,3,1,1,"2010","General"
"Tamaulipas",272,9,3,14,22,45,60,16,31,39,24,4,5,"2010","General"
"Tlaxcala",63,1,0,3,7,14,5,10,5,8,3,4,3,"2010","General"
"Veracruz",242,13,11,16,19,29,53,21,24,25,18,8,5,"2010","General"
"Yucatan",70,2,6,7,10,2,0,7,6,17,7,2,4,"2010","General"
"Zacatecas",3754,121,116,220,332,442,684,471,394,403,268,163,140,"2010","General"
"Total",280160,14143,13421,23566,25880,32080,37921,24637,24280,28830,23543,17605,14254,"2010","General"
"Aguascalientes",2088,80,133,210,244,218,256,179,203,167,134,160,104,"2011","General"
"BajaCalifornia",129,5,4,7,6,17,13,17,25,11,16,4,4,"2011","General"
"BajaCaliforniaSur",106,2,2,8,7,9,16,8,17,21,7,8,1,"2011","General"
"Campeche",94,10,10,9,13,8,6,9,7,8,7,5,2,"2011","General"
"Coahuila",203,0,0,6,25,26,36,21,48,18,12,10,1,"2011","General"
"Colima",11781,615,601,799,858,1055,1230,1122,1324,1190,1207,1118,662,"2011","General"
"Chiapas",363,33,21,37,25,31,28,22,40,38,38,31,19,"2011","General"
"Chihuahua",451,16,9,34,21,43,85,63,67,53,36,12,12,"2011","General"
"DistritoFederal",513,31,48,38,54,56,57,44,59,32,26,33,35,"2011","General"
"Durango",7669,199,349,588,806,1058,1529,672,989,490,376,371,242,"2011","General"
"Guanajuato",30548,951,1494,2826,4083,3874,3935,2430,2900,2455,2090,1978,1532,"2011","General"
"Guerrero",51284,2583,2770,4044,4040,4674,5739,4393,5075,4350,4513,6057,3046,"2011","General"
"Hidalgo",219,0,3,16,14,22,39,23,40,26,19,12,5,"2011","General"
"Jalisco",52214,2364,2983,4861,5492,6016,6566,4037,5002,4267,3943,4179,2504,"2011","General"
"Mexico",9781,267,340,727,894,1165,1180,763,860,945,973,1155,512,"2011","General"
"Michoacan",32106,1187,1522,2558,2901,3358,3803,2627,3313,3153,2784,3208,1692,"2011","General"
"Morelos",36611,1167,1656,3176,4160,4192,4099,3053,3804,3441,3103,3041,1719,"2011","General"
"Nayarit",13645,487,509,834,842,1079,1842,1496,1619,1476,1337,1383,741,"2011","General"
"NuevoLeon",227,1,3,7,23,26,40,23,48,26,17,11,2,"2011","General"
"Oaxaca",5409,249,353,569,516,545,613,504,519,389,327,515,310,"2011","General"
"Puebla",15239,675,926,1647,1597,1498,1659,1195,1524,1252,1089,1407,770,"2011","General"
"Queretaro",5603,168,264,494,680,657,737,470,579,495,393,433,233,"2011","General"
"QuintanaRoo",236,6,9,31,26,21,28,18,29,26,21,16,5,"2011","General"
"SanLuisPotosi",267,10,4,14,24,14,33,50,45,28,21,17,7,"2011","General"
"Sinaloa",9521,293,271,472,504,712,1055,1013,1548,1230,1137,921,365,"2011","General"
"Sonora",5592,57,71,279,416,487,1241,862,844,585,422,257,71,"2011","General"
"Tabasco",66,1,3,8,9,2,7,6,9,6,1,14,0,"2011","General"
"Tamaulipas",337,6,7,25,26,33,49,56,47,33,30,17,8,"2011","General"
"Tlaxcala",63,1,3,3,4,7,8,9,16,3,2,6,1,"2011","General"
"Veracruz",258,7,7,38,34,20,21,41,40,17,11,9,13,"2011","General"
"Yucatan",73,5,9,5,5,7,4,6,12,6,6,4,4,"2011","General"
"Zacatecas",3696,114,179,336,435,469,517,362,406,282,234,230,132,"2011","General"
"Total",296392,11590,14563,24706,28784,31399,36471,25594,31058,26519,24332,26622,14754,"2011","General"
"Aguascalientes",2295,116,95,166,243,301,265,286,177,207,248,131,60,"2012","General"
"BajaCalifornia",131,2,1,7,4,11,5,14,35,33,12,7,0,"2012","General"
"BajaCaliforniaSur",143,2,3,7,5,23,22,22,22,20,9,7,1,"2012","General"
"Campeche",82,2,14,3,3,8,14,11,10,6,3,6,2,"2012","General"
"Coahuila",231,1,3,5,23,50,27,39,38,22,15,4,4,"2012","General"
"Colima",12115,837,756,771,607,1265,1111,1446,1065,1152,1430,897,778,"2012","General"
"Chiapas",331,24,14,19,18,64,31,30,25,27,22,33,24,"2012","General"
"Chihuahua",485,10,14,23,45,73,66,75,53,66,44,11,5,"2012","General"
"DistritoFederal",455,22,26,42,35,59,47,56,38,47,32,24,27,"2012","General"
"Durango",7945,381,284,348,760,1415,1154,937,739,621,622,420,264,"2012","General"
"Guanajuato",35490,1975,2133,2455,4276,6672,3970,3336,2624,2517,3005,1366,1161,"2012","General"
"Guerrero",57922,4341,3310,4140,4181,6461,4883,5634,4336,4659,6211,6021,3745,"2012","General"
"Hidalgo",249,11,12,13,18,23,33,35,32,30,26,9,7,"2012","General"
"Jalisco",53856,3691,2946,3876,5054,7560,5577,4879,3929,4363,5732,3398,2851,"2012","General"
